,gender,seniorcitizen,partner,dependents,tenure,phoneservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,monthlycharges,totalcharges,churn
0,Female,0,Yes,No,-1.2774445836787656,No,No,Yes,No,No,No,No,Month-to-month,-1.1603229160349193,-0.9926105235902257,No
1,Male,0,No,No,0.06632741908223598,Yes,Yes,No,Yes,No,No,No,One year,-0.2596289419448806,-0.17216470898960817,No
2,Male,0,No,No,-1.2367242199587352,Yes,Yes,Yes,No,No,No,No,Month-to-month,-0.3626603559551803,-0.9580659010627455,Yes
3,Male,0,No,No,0.5142514200025698,No,Yes,No,Yes,Yes,No,No,One year,-0.7465354629935549,-0.1936723762720431,No
4,Female,0,No,No,-1.2367242199587352,Yes,No,No,No,No,No,No,Month-to-month,0.19736523310080326,-0.9388744441030343,Yes
5,Female,0,No,No,-0.9924020376385531,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,1.1595456961969886,-0.6437892489880273,Yes
6,Male,0,No,Yes,-0.4223169455581282,Yes,No,Yes,No,No,Yes,No,Month-to-month,0.8089065291619363,-0.14573785216462656,No
7,Female,0,No,No,-0.9109613101984924,No,Yes,No,No,No,No,No,Month-to-month,-1.1636465100352518,-0.8725867105812734,No
8,Female,0,Yes,No,-0.1779947632379461,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-month,1.330710787214099,0.33808539553347106,Yes
9,Male,0,No,Yes,1.2064976032430856,Yes,Yes,Yes,No,No,No,No,One year,-0.28621769394753876,0.5330441272690194,No
10,Male,0,Yes,Yes,-0.7888002190384014,Yes,Yes,No,No,No,No,No,Month-to-month,-0.4922805219681379,-0.7466069281710316,No
11,Male,0,No,No,-0.6666391278783103,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,-1.5225946620711341,-0.8616012559077836,No
12,Male,0,Yes,No,1.0436161483629645,Yes,No,No,Yes,No,Yes,Yes,One year,1.182810854199314,1.5006244452274227,No
13,Male,0,No,No,0.6771328748826912,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,1.2941512532104444,1.2161496993050833,Yes
14,Male,0,No,No,-0.30015585439803716,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1.3539759452164248,0.17925954483241316,No
15,Female,0,Yes,Yes,1.4915401492832983,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1.611554480242174,2.4774254861848592,No
16,Female,0,No,No,0.7992939660427822,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,-1.4660935640654862,-0.5544717671146129,No
17,Male,0,No,Yes,1.5729808767233588,Yes,Yes,No,Yes,No,Yes,Yes,Two year,1.393859073220412,2.251142767227713,No
18,Female,0,Yes,Yes,-0.9109613101984924,Yes,No,No,Yes,Yes,No,No,Month-to-month,-0.31779183695069496,-0.7726808386611219,Yes
19,Female,0,No,No,-0.46303730927815856,Yes,No,Yes,Yes,No,No,Yes,Month-to-month,0.8404806721650927,-0.18390017462474187,No
20,Male,1,No,No,-1.2774445836787656,No,No,No,Yes,No,No,Yes,Month-to-month,-0.8346107040023594,-0.988286930987808,Yes
21,Male,0,Yes,No,-0.8295205827584317,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,-1.4943441130683104,-0.9165505884211634,No
22,Male,0,No,No,-1.2774445836787656,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,-1.4827115340671475,-0.9968899979007819,Yes
23,Female,0,Yes,No,1.0436161483629645,Yes,No,Yes,No,Yes,No,No,Two year,-0.1615829189350795,0.5406104143232504,No
24,Male,0,Yes,Yes,0.6771328748826912,Yes,Yes,Yes,No,Yes,No,No,Month-to-month,-0.17155370093607614,0.3046657894484568,No
25,Female,0,No,No,-0.0965540357978854,Yes,Yes,Yes,No,No,No,No,Month-to-month,-0.31446824295036285,-0.33050525848019063,No
26,Male,0,Yes,Yes,0.5956921474426305,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,1.1495749141959914,1.0894640242250588,Yes
27,Male,0,Yes,Yes,-1.2774445836787656,No,No,Yes,No,No,No,No,Month-to-month,-1.1486903370337564,-0.9924561095687108,Yes
28,Male,0,Yes,No,1.6137012404433893,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0.8471278601657574,1.8043127072554035,No
29,Female,0,No,Yes,-0.62591876415828,Yes,No,No,No,No,Yes,Yes,Month-to-month,-0.0020504069191315333,-0.5235227853738373,Yes
30,Female,1,Yes,No,1.5729808767233588,Yes,Yes,Yes,Yes,Yes,No,No,Two year,1.0498670941860242,1.9796829174044883,No
31,Male,1,Yes,No,-1.2367242199587352,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,1.0216165451832002,-0.9256389565446128,No
